Date,Value
2015-11-13,121.3516
2015-11-12,121.1017
2015-11-11,121.381
2015-11-10,121.2548
2015-11-09,121.1827
2015-11-06,120.9235
2015-11-05,120.0097
2015-11-04,119.9209
2015-11-03,119.4329
2015-11-02,119.4224
2015-10-30,119.4196
2015-10-29,120.0524
2015-10-28,119.4528
2015-10-27,119.7169
2015-10-26,119.4201
2015-10-23,119.6421
2015-10-22,119.2735
2015-10-21,119.0213
2015-10-20,118.5671
2015-10-19,118.6193
2015-10-16,118.2002
2015-10-15,117.8397
2015-10-14,118.3447
2015-10-13,118.6232
2015-10-12,118.414
2015-10-09,118.2849
2015-10-08,118.8917
2015-10-07,119.0624
2015-10-06,119.4256
2015-10-05,119.7369
2015-10-02,120.035
2015-10-01,120.3678
2015-09-30,120.6347
2015-09-29,120.8636
2015-09-28,120.7522
2015-09-25,120.7203
2015-09-24,120.8098
2015-09-23,121.0056
2015-09-22,120.5499
2015-09-21,119.9821
2015-09-18,119.1352
2015-09-17,119.43
2015-09-16,119.4328
2015-09-15,119.9673
2015-09-14,119.85
2015-09-11,119.9764
2015-09-10,120.0133
2015-09-09,120.3013
2015-09-08,120.1644
2015-09-07,120.6222
2015-09-04,120.4158
2015-09-03,120.157
2015-09-02,120.0935
2015-09-01,119.7627
2015-08-31,119.8776
2015-08-28,120.011
2015-08-27,119.8577
2015-08-26,120.009
2015-08-25,119.8043
2015-08-24,119.422
2015-08-21,119.6046
2015-08-20,119.5513
2015-08-19,119.8521
2015-08-18,119.6767
2015-08-17,119.5568
2015-08-14,119.3071
2015-08-13,119.28
2015-08-12,118.8466
2015-08-11,119.2148
2015-08-10,118.2678
2015-08-07,118.5109
2015-08-06,118.7988
2015-08-05,118.9296
2015-08-04,118.2884
2015-08-03,118.2828
2015-07-31,117.8293
2015-07-30,118.476
2015-07-29,117.6245
2015-07-28,117.717
2015-07-27,117.7154
2015-07-24,118.0161
2015-07-23,117.7422
2015-07-22,117.7656
2015-07-21,117.3557
2015-07-20,117.6692
2015-07-17,117.4979
2015-07-16,117.1355
2015-07-15,116.9755
2015-07-14,116.4495
2015-07-13,116.5284
2015-07-10,116.1497
2015-07-09,116.4888
2015-07-08,116.4031
2015-07-07,116.7271
2015-07-06,116.0975
2015-07-03,115.8952
2015-07-02,115.8498
2015-07-01,115.9494
2015-06-30,115.4649
2015-06-29,115.356
2015-06-26,115.3794
2015-06-25,115.1037
2015-06-24,115.1896
2015-06-23,114.9009
2015-06-22,114.3219
2015-06-19,114.3983
2015-06-18,114.0412
2015-06-17,115.0118
2015-06-16,114.9816
2015-06-15,114.9345
2015-06-12,114.846
2015-06-11,115.0179
2015-06-10,114.7231
2015-06-09,115.1595
2015-06-08,115.7034
2015-06-05,116.048
2015-06-04,115.3755
2015-06-03,115.0052
2015-06-02,115.3036
2015-06-01,116.0589
2015-05-29,115.5625
2015-05-28,115.7435
2015-05-27,115.7208
2015-05-26,115.5373
2015-05-25,114.6086
2015-05-22,114.6315
2015-05-21,114.1889
2015-05-20,114.3739
2015-05-19,114.1444
2015-05-18,113.4099
2015-05-15,112.8482
2015-05-14,113.0797
2015-05-13,113.2108
2015-05-12,113.7607
2015-05-11,114.176
2015-05-08,113.6798
2015-05-07,113.9972
2015-05-06,113.4857
2015-05-05,114.0382
2015-05-04,114.4684
2015-05-01,114.4215
2015-04-30,114.1061
2015-04-29,113.3599
2015-04-28,113.9027
2015-04-27,114.488
2015-04-24,114.6486
2015-04-23,114.9206
2015-04-22,115.3345
2015-04-21,115.3335
2015-04-20,115.2598
2015-04-17,115.0753
2015-04-16,115.0004
2015-04-15,115.9014
2015-04-14,115.7834
2015-04-13,116.4913
2015-04-10,116.1864
2015-04-09,115.7487
2015-04-08,115.1771
2015-04-07,115.2054
2015-04-06,114.539
2015-04-03,114.6553
2015-04-02,115.4403
2015-04-01,115.8532
2015-03-31,116.254
2015-03-30,116.205
2015-03-27,115.7286
2015-03-26,115.3858
2015-03-25,115.0968
2015-03-24,115.2651
2015-03-23,115.3673
2015-03-20,116.0377
2015-03-19,117.0176
2015-03-18,117.2884
2015-03-17,117.5178
2015-03-16,117.6169
2015-03-13,117.886
2015-03-12,117.1525
2015-03-11,117.5183
2015-03-10,117.1371
2015-03-09,116.5084
2015-03-06,116.4099
2015-03-05,115.4702
2015-03-04,115.1531
2015-03-03,114.585
2015-03-02,114.8505
2015-02-27,114.6291
2015-02-26,114.5
2015-02-25,114.0739
2015-02-24,114.5787
2015-02-23,114.5816
2015-02-20,114.3643
2015-02-19,114.1707
2015-02-18,114.2839
2015-02-17,113.9823
2015-02-16,113.9055
2015-02-13,113.8477
2015-02-12,113.9722
2015-02-11,114.806
2015-02-10,114.2997
2015-02-09,114.0069
2015-02-06,114.156
2015-02-05,113.5214
2015-02-04,113.797
2015-02-03,113.6244
2015-02-02,114.249
2015-01-30,114.6316
2015-01-29,114.3076
2015-01-28,113.5069
2015-01-27,113.1746
2015-01-26,113.5214
2015-01-23,113.3187
2015-01-22,112.8767
2015-01-21,112.7622
2015-01-20,112.5458
2015-01-19,112.2423
2015-01-16,112.216
2015-01-15,112.0482
2015-01-14,112.0339
2015-01-13,112.2195
2015-01-12,112.1751
2015-01-09,112.0617
2015-01-08,112.2166
2015-01-07,112.5917
