@relation results

@attribute id numeric
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute 'volume (btc)' numeric
@attribute 'volume (currency)' numeric
@attribute 'class label' {positive,negative}

@data
242,4.97,4.97,4.87,4.95,413.826657,2038.796519,negative
243,4.95,4.97,4.91,4.91,219.333891,1080.629741,negative
244,4.95,4.95,4.94,4.94,395.462966,1954.293935,positive
245,4.93,4.99,4.88,4.93,718.729118,3540.861297,negative
246,4.95,5.01,4.9,4.95,600.995964,2983.31625,negative
247,5,5.04,4.98,5.04,178.033221,892.098754,negative
248,5.02,5.03,5.01,5.02,611.212832,3071.505429,negative
249,5.03,5.07,5.03,5.07,912.52427,4607.764033,negative
250,5.08,5.08,5.05,5.07,168.005975,851.564453,negative
251,5.03,5.08,5.03,5.03,26.402127,133.964195,positive
252,5.04,5.09,5.01,5.08,354.057396,1791.340373,positive
253,5.05,5.07,5,5.03,678.067585,3425.089848,negative
254,5.02,5.1,5.02,5.1,558.151313,2826.52784,negative
255,5.08,5.12,5.04,5.12,904.740096,4607.125057,positive
256,5.09,5.1,5.08,5.08,274.910263,1398.604582,negative
257,5.08,5.09,5.06,5.07,388.706217,1977.883419,positive
258,5.08,5.08,5,5.07,913.529672,4616.795081,negative
259,5.08,5.08,5.07,5.07,180.683833,917.689674,positive
260,5.07,5.12,4.95,5.11,1341.514304,6801.76803,negative
261,5.07,5.14,5.07,5.14,748.401681,3831.895882,negative
262,5.14,5.17,5.1,5.17,1102.639914,5655.316803,negative
263,5.17,5.24,5.16,5.22,473.664411,2467.554625,positive
264,5.2,5.21,5.17,5.19,192.434785,999.613877,positive
265,5.19,5.2,5.19,5.19,14.334754,74.440495,positive
266,5.18,5.24,5.14,5.22,1359.118309,7046.503508,negative
267,5.22,5.49,5.22,5.37,929.194951,4983.290899,negative
268,5.39,5.49,5.37,5.41,770.84631,4190.974831,negative
269,5.41,5.53,5.4,5.53,1412.875207,7732.319295,negative
270,5.48,5.63,5.46,5.61,1397.449021,7776.038687,negative
271,5.6,5.62,5.47,5.48,353.656034,1971.261326,positive
272,5.54,5.54,5.42,5.42,270.951176,1480.567258,positive
273,5.48,5.57,5.4,5.52,667.672166,3645.374,negative
274,5.57,5.9,5.53,5.71,9330.407964,54760.494771,positive
275,5.77,6,5.71,5.86,1690.197407,9900.866631,positive
276,5.86,5.91,5.79,5.9,3236.508726,18903.896599,negative
277,5.88,6.42,5.56,6.42,2041.447287,11963.308265,negative
278,6.41,6.52,6.12,6.41,1010.139375,6427.823978,positive
279,6.41,6.47,6.13,6.19,424.190457,2679.990784,positive
280,6.13,6.34,5.98,6.06,2483.098653,15257.807492,negative
281,6.13,6.49,6.13,6.46,1389.048837,8907.1497,negative
282,6.4,6.65,6.26,6.64,2075.984567,13567.256885,negative
283,6.66,6.69,6.64,6.64,480.842019,3201.478837,positive
284,6.64,6.67,6.48,6.59,963.160799,6367.152991,positive
285,6.6,6.61,6.33,6.45,1137.141328,7329.271985,positive
286,6.35,6.45,6.35,6.4,599.17295,3831.397118,positive
287,6.35,6.35,6.11,6.26,1956.728215,12222.075296,negative
288,6.26,6.46,6.17,6.41,2273.098601,14395.293587,negative
289,6.41,6.68,6.34,6.49,11231.778287,73445.146275,positive
290,6.49,6.54,5.99,6.5,4266.150568,26772.779911,negative
291,6.5,6.63,6.49,6.52,8127.555002,52910.433823,negative
292,6.58,6.61,6.5,6.61,828.05206,5403.412103,negative
293,6.6,6.62,6.52,6.52,332.443723,2178.098808,negative
294,6.55,6.64,6.52,6.61,1792.236132,11809.445608,positive
295,6.61,6.66,6.4,6.44,1936.390571,12722.288427,positive
296,6.44,6.55,6.36,6.44,2014.688732,13045.055125,negative
297,6.52,6.66,6.52,6.6,1406.971932,9291.8932,positive
298,6.59,6.6,6.39,6.59,1662.615105,10843.365954,negative
299,6.6,6.79,6.56,6.79,1408.479822,9388.156163,positive
300,6.8,6.8,6.45,6.73,830.370904,5483.56073,negative
301,6.77,6.99,6.55,6.94,1751.755528,11902.00874,negative
302,6.95,7.13,6.95,7.08,1495.144289,10504.398824,negative
303,7.08,7.15,7.04,7.14,751.662075,5345.829365,negative
304,7.15,7.59,7.1,7.59,2325.837575,16706.657978,negative
305,7.6,7.69,7.46,7.59,1204.545737,9144.078773,positive
306,7.58,7.58,7.44,7.55,717.31462,5408.067234,positive
307,7.55,7.57,7.4,7.57,322.392083,2418.56413,negative
308,7.57,8.3,7.14,8.3,3680.082593,28112.915854,negative
309,8.3,8.8,7.7,8.55,3658.89689,30014.691768,negative
310,8.5,9.15,8.36,9,2613.84283,22817.789354,negative
311,9.06,9.2,8.76,8.76,2512.841399,22765.407689,positive
312,8.76,8.76,7.93,8.44,1378.665129,11284.564549,negative
313,8.52,8.91,8.2,8.74,2380.644659,20553.41878,positive
314,8.74,8.8,8.3,8.42,1483.547345,12717.964209,negative
315,8.42,8.88,8.1,8.59,2585.861621,22225.467115,positive
316,8.59,8.8,8.25,8.61,1298.898505,11148.282028,positive
317,8.59,8.64,8.24,8.64,1795.459774,15281.064202,negative
318,8.64,8.83,8.45,8.75,837.678589,7224.829866,negative
319,8.76,8.91,8.76,8.83,687.496715,6094.415863,negative
320,8.83,9,8.78,8.88,1498.926032,13347.625755,positive
321,8.79,8.79,8.7,8.71,590.370662,5154.722392,positive
322,8.7,9,8.54,9,2423.613506,21078.353474,negative
323,9,9.28,8.92,9.28,1324.425751,12141.476051,negative
324,9.28,9.5,8.9,9.45,2419.606073,22568.951151,negative
325,9.45,10.52,9.4,10.44,2209.709261,21163.18741,negative
326,10.4,12,10.1,10.79,2419.413431,26081.293828,positive
327,10.96,11.2,10.5,10.51,635.368381,6829.387341,positive
328,10.93,10.93,10.29,10.71,1906.761907,19934.339238,negative
329,10.71,10.99,10.43,10.84,2070.078121,22226.745782,negative
330,10.86,10.87,10.72,10.75,1039.03555,11186.186217,negative
331,10.75,11.04,10.7,10.99,2746.094619,29919.446627,negative
332,11,12.49,10.79,11,2432.994733,27273.43404,positive
333,11,11.5,10.9,11.32,2554.439056,28345.944108,negative
334,11.32,11.4,11.25,11.38,358.816927,4060.036183,negative
335,11.4,11.69,11.34,11.49,838.43263,9613.449105,negative
336,11.42,11.98,11.4,11.89,3499.585971,40698.515925,negative
337,11.9,12.3,11.81,12.25,1925.973149,23207.391395,negative
338,12.13,13.2,12.13,13.01,1592.267794,19913.778483,negative
339,13.14,13.5,12.75,13.42,1529.329074,20345.70071,negative
340,13.49,16.41,11.5,12.5,4868.278865,69361.306855,positive
341,12.64,12.99,11.11,11.54,2511.367218,29197.872214,positive
342,11.86,11.86,7.1,8.06,5427.251526,48723.000523,negative
343,8.09,10.33,7.86,10.05,3382.499653,30656.236089,negative
344,9.79,10.51,9.53,10.18,3384.919443,34338.999746,negative
345,9.99,10.71,9.75,9.96,8193.331295,84387.947574,positive
346,9.96,10.19,9.78,10.02,2710.255412,27095.00128,negative
347,10.03,10.51,9.83,10.37,4170.89274,42191.819148,negative
348,10.45,10.58,10.14,10.57,581.271228,6046.296726,negative
349,10.57,10.62,10.2,10.31,1412.063545,14794.878071,negative
350,10.31,11.93,10.31,10.78,4283.774476,47639.938569,positive
351,10.9,11.21,10.63,11,2970.101213,32516.008982,positive
352,11,11.05,10.49,10.78,4768.860111,51406.94695,positive
353,10.81,10.91,10.51,10.65,1513.88397,16231.944945,positive
354,10.65,10.8,9.69,10.16,2915.129257,30015.312336,positive
355,10.2,10.2,9.85,9.91,665.202046,6629.27029,positive
356,10.07,10.18,9.49,10.18,1340.451822,13291.456889,negative
357,10.17,10.55,9.95,10.55,1166.651014,12047.293629,positive
358,10.36,10.5,10.14,10.36,2649.659909,27351.468486,negative
359,10.38,10.99,10.12,10.99,1870.389031,19601.415859,negative
360,10.9,11.15,10.68,11.02,3296.232115,35837.38667,negative
361,11.03,11.1,10.83,11.03,1351.770112,14879.130983,positive
362,10.98,11.11,10.3,10.97,1355.12941,14748.686774,negative
363,10.97,11.04,10.84,10.98,1216.124719,13256.256161,negative
364,10.85,11.08,10.74,10.95,2492.060908,27171.814405,positive
365,10.95,11.04,10.38,11.04,4794.963589,51749.353317,negative
366,11.04,11.14,10.75,11.14,2414.687533,26603.779086,negative
367,11.17,11.42,10.98,11.3,2138.980773,24097.667338,negative
368,11.26,11.7,11.05,11.5,2127.294354,24113.838633,negative
369,11.6,11.65,11.35,11.63,594.793955,6868.334355,negative
370,11.63,11.8,11.53,11.75,1287.406252,15018.682887,negative
371,11.75,11.88,11.58,11.85,689.940903,8097.339385,negative
372,11.85,12.28,11.67,11.91,3735.017729,44344.022815,negative
373,11.9,12.5,11.9,12.32,1251.583482,15406.225612,negative
374,12.44,12.66,12.28,12.28,767.93391,9544.7772,positive
375,12.29,12.35,12.01,12.19,1990.390172,24224.41047,positive
376,12.14,12.25,11.97,11.97,818.047026,9870.666028,positive
377,12.11,12.11,11.79,11.99,1084.462743,12907.57943,positive
378,11.99,11.99,11.69,11.9,1523.19954,18068.246885,negative
379,11.9,12.18,11.56,11.75,3057.44986,36342.387236,negative
380,11.8,12.2,11.53,12.2,3038.105097,36547.164719,negative
381,12.2,12.38,11.84,12.22,3306.145463,40040.308503,positive
382,12.21,12.28,11.53,12.28,2842.622878,34197.62398,negative
383,12.28,12.28,12.12,12.28,584.154061,7132.499683,positive
384,12.2,12.28,12.17,12.22,173.214246,2111.592693,positive
385,12.21,12.27,11.6,12.14,3151.927758,37889.918712,negative
