@relation bitcoin_weekly-weka.filters.unsupervised.attribute.Remove-R1

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute 'volume (btc)' numeric
@attribute 'volume (currency)' numeric
@attribute 'class label' {BUY,SELL,HOLD}

@data
6.61,6.66,6.4,6.44,1936.390571,12722.288427,SELL
6.44,6.55,6.36,6.44,2014.688732,13045.055125,SELL
6.52,6.66,6.52,6.6,1406.971932,9291.8932,SELL
6.59,6.6,6.39,6.59,1662.615105,10843.365954,SELL
6.6,6.79,6.56,6.79,1408.479822,9388.156163,SELL
6.8,6.8,6.45,6.73,830.370904,5483.56073,SELL
6.77,6.99,6.55,6.94,1751.755528,11902.00874,SELL
6.95,7.13,6.95,7.08,1495.144289,10504.398824,SELL
7.08,7.15,7.04,7.14,751.662075,5345.829365,SELL
7.15,7.59,7.1,7.59,2325.837575,16706.657978,SELL
7.6,7.69,7.46,7.59,1204.545737,9144.078773,SELL
7.58,7.58,7.44,7.55,717.31462,5408.067234,SELL
7.55,7.57,7.4,7.57,322.392083,2418.56413,SELL
7.57,8.3,7.14,8.3,3680.082593,28112.915854,SELL
8.3,8.8,7.7,8.55,3658.89689,30014.691768,SELL
8.5,9.15,8.36,9,2613.84283,22817.789354,BUY
9.06,9.2,8.76,8.76,2512.841399,22765.407689,BUY
8.76,8.76,7.93,8.44,1378.665129,11284.564549,SELL
8.52,8.91,8.2,8.74,2380.644659,20553.41878,SELL
8.74,8.8,8.3,8.42,1483.547345,12717.964209,SELL
8.42,8.88,8.1,8.59,2585.861621,22225.467115,SELL
8.59,8.8,8.25,8.61,1298.898505,11148.282028,SELL
8.59,8.64,8.24,8.64,1795.459774,15281.064202,SELL
8.64,8.83,8.45,8.75,837.678589,7224.829866,SELL
8.76,8.91,8.76,8.83,687.496715,6094.415863,SELL
8.83,9,8.78,8.88,1498.926032,13347.625755,SELL
8.79,8.79,8.7,8.71,590.370662,5154.722392,SELL
8.7,9,8.54,9,2423.613506,21078.353474,SELL
9,9.28,8.92,9.28,1324.425751,12141.476051,SELL
9.28,9.5,8.9,9.45,2419.606073,22568.951151,SELL
9.45,10.52,9.4,10.44,2209.709261,21163.18741,SELL
10.4,12,10.1,10.79,2419.413431,26081.293828,SELL
10.96,11.2,10.5,10.51,635.368381,6829.387341,SELL
10.93,10.93,10.29,10.71,1906.761907,19934.339238,SELL
10.71,10.99,10.43,10.84,2070.078121,22226.745782,SELL
10.86,10.87,10.72,10.75,1039.03555,11186.186217,SELL
10.75,11.04,10.7,10.99,2746.094619,29919.446627,SELL
11,12.49,10.79,11,2432.994733,27273.43404,SELL
11,11.5,10.9,11.32,2554.439056,28345.944108,SELL
11.32,11.4,11.25,11.38,358.816927,4060.036183,SELL
11.4,11.69,11.34,11.49,838.43263,9613.449105,BUY
11.42,11.98,11.4,11.89,3499.585971,40698.515925,BUY
11.9,12.3,11.81,12.25,1925.973149,23207.391395,BUY
12.13,13.2,12.13,13.01,1592.267794,19913.778483,BUY
13.14,13.5,12.75,13.42,1529.329074,20345.70071,BUY
13.49,16.41,11.5,12.5,4868.278865,69361.306855,BUY
12.64,12.99,11.11,11.54,2511.367218,29197.872214,BUY
11.86,11.86,7.1,8.06,5427.251526,48723.000523,SELL
8.09,10.33,7.86,10.05,3382.499653,30656.236089,SELL
9.79,10.51,9.53,10.18,3384.919443,34338.999746,SELL
9.99,10.71,9.75,9.96,8193.331295,84387.947574,SELL
9.96,10.19,9.78,10.02,2710.255412,27095.00128,SELL
10.03,10.51,9.83,10.37,4170.89274,42191.819148,SELL
10.45,10.58,10.14,10.57,581.271228,6046.296726,BUY
10.57,10.62,10.2,10.31,1412.063545,14794.878071,BUY
10.31,11.93,10.31,10.78,4283.774476,47639.938569,BUY
10.9,11.21,10.63,11,2970.101213,32516.008982,BUY
11,11.05,10.49,10.78,4768.860111,51406.94695,BUY
10.81,10.91,10.51,10.65,1513.88397,16231.944945,SELL
10.65,10.8,9.69,10.16,2915.129257,30015.312336,SELL
10.2,10.2,9.85,9.91,665.202046,6629.27029,SELL
10.07,10.18,9.49,10.18,1340.451822,13291.456889,SELL
10.17,10.55,9.95,10.55,1166.651014,12047.293629,SELL
10.36,10.5,10.14,10.36,2649.659909,27351.468486,SELL
10.38,10.99,10.12,10.99,1870.389031,19601.415859,SELL
10.9,11.15,10.68,11.02,3296.232115,35837.38667,SELL
11.03,11.1,10.83,11.03,1351.770112,14879.130983,SELL
10.98,11.11,10.3,10.97,1355.12941,14748.686774,SELL
10.97,11.04,10.84,10.98,1216.124719,13256.256161,SELL
10.85,11.08,10.74,10.95,2492.060908,27171.814405,SELL
10.95,11.04,10.38,11.04,4794.963589,51749.353317,SELL
11.04,11.14,10.75,11.14,2414.687533,26603.779086,SELL
11.17,11.42,10.98,11.3,2138.980773,24097.667338,SELL
11.26,11.7,11.05,11.5,2127.294354,24113.838633,SELL
11.6,11.65,11.35,11.63,594.793955,6868.334355,SELL
11.63,11.8,11.53,11.75,1287.406252,15018.682887,SELL
11.75,11.88,11.58,11.85,689.940903,8097.339385,SELL
11.85,12.28,11.67,11.91,3735.017729,44344.022815,HOLD
11.9,12.5,11.9,12.32,1251.583482,15406.225612,BUY
12.44,12.66,12.28,12.28,767.93391,9544.7772,BUY
12.29,12.35,12.01,12.19,1990.390172,24224.41047,BUY
12.14,12.25,11.97,11.97,818.047026,9870.666028,SELL
12.11,12.11,11.79,11.99,1084.462743,12907.57943,SELL
11.99,11.99,11.69,11.9,1523.19954,18068.246885,SELL
11.9,12.18,11.56,11.75,3057.44986,36342.387236,SELL
11.8,12.2,11.53,12.2,3038.105097,36547.164719,SELL
12.2,12.38,11.84,12.22,3306.145463,40040.308503,SELL
12.21,12.28,11.53,12.28,2842.622878,34197.62398,SELL
12.28,12.28,12.12,12.28,584.154061,7132.499683,SELL
12.2,12.28,12.17,12.22,173.214246,2111.592693,BUY
12.21,12.27,11.6,12.14,3151.927758,37889.918712,BUY
12.2,12.7,12.14,12.64,4634.41771,57712.679641,BUY
12.63,12.99,12.45,12.9,4948.455672,63268.335024,BUY
12.9,12.9,12.51,12.57,3211.886001,40800.141828,BUY
12.61,12.7,11.5,12.5,5459.560688,67349.988816,BUY
12.51,12.6,12.06,12.39,1640.41685,20370.967759,BUY
12.39,12.45,11.52,11.71,3262.847507,39134.370588,BUY
11.7,11.99,10.42,11.62,2885.957812,31964.190094,SELL
11.62,12.26,11.52,11.99,1933.939089,23092.58241,BUY
11.85,12.25,11.79,12.24,2369.718361,28378.106848,BUY
12.1,12.13,11.58,12.09,2349.860473,27788.03728,HOLD
11.95,12.1,11.81,11.9,735.716607,8827.925293,BUY
11.9,12,11.81,11.85,486.615907,5796.152144,BUY
11.85,11.9,11.79,11.79,336.217647,3981.403016,BUY
11.78,11.84,11.03,11.66,3425.958007,39335.862222,HOLD
11.8,11.94,11.17,11.92,1004.499677,11660.432114,HOLD
11.79,11.97,11.15,11.88,3020.890537,35317.85113,BUY
11.9,11.9,11.55,11.8,1277.754257,15057.096359,BUY
11.75,11.84,11.5,11.67,10149.001528,118964.598288,BUY
11.65,11.7,11.53,11.6,704.855011,8193.045065,BUY
11.6,11.68,11.29,11.32,2048.260327,23455.969452,BUY
11.54,11.57,11.27,11.49,1913.118006,21966.437001,BUY
11.5,11.7,11.25,11.58,2717.110053,31250.194192,BUY
11.38,11.62,11.01,11.4,3180.176965,36136.820562,BUY
11.39,11.39,10.4,10.55,3077.540636,33904.385956,HOLD
10.46,10.84,9.68,10,2384.646512,24712.710008,SELL
10,10.75,9.5,10.43,1989.477513,19869.37046,SELL
10.35,10.75,10.3,10.54,972.319286,10231.222605,HOLD
10.67,10.8,10.32,10.8,2655.790811,28198.082938,HOLD
10.8,10.81,10.43,10.8,2780.314698,29649.729177,HOLD
10.79,11,10.66,11,3057.679498,33152.619679,BUY
11,11.05,10.63,10.85,1726.988321,18852.234927,BUY
10.85,10.96,10.45,10.67,2477.449542,26465.310039,HOLD
10.54,10.69,10.41,10.66,1572.814661,16586.098497,SELL
10.67,10.68,10.4,10.64,2010.406233,21126.728552,SELL
10.63,10.8,10.5,10.78,5531.261206,58624.906185,SELL
10.78,10.8,10.51,10.74,3348.912811,35648.697813,SELL
10.68,10.84,10.45,10.8,4027.999483,43035.795325,SELL
10.65,10.83,10.25,10.81,2930.399499,31006.341598,SELL
10.69,10.84,10.61,10.8,2342.580384,25223.157674,SELL
10.8,10.87,10.63,10.81,1074.44382,11581.043443,SELL
10.82,10.85,10.64,10.82,650.678433,6980.575826,SELL
10.78,10.92,10.72,10.87,1146.317733,12439.30644,SELL
10.92,10.99,10.76,10.87,2565.613779,27984.978478,SELL
10.87,10.98,10.74,10.97,1294.563007,14128.304487,SELL
10.98,11.05,10.81,11.05,2452.656808,26917.722448,SELL
11.05,11.6,10.96,11.46,7094.45117,79249.740665,SELL
11.48,11.65,11.45,11.57,795.350413,9174.525188,SELL
11.56,11.65,11.32,11.51,1033.460701,11853.509194,SELL
11.51,11.65,11.03,11.65,4206.617839,47845.298868,SELL
11.6,11.69,11.44,11.65,2524.495746,29272.399167,SELL
11.64,11.67,11.34,11.67,3449.380031,39721.623939,SELL
11.67,12.12,11.55,11.88,10030.597518,118497.332929,SELL
11.86,12.16,11.66,12.16,2085.939497,25154.966176,SELL
12.16,12.29,12.06,12.25,1378.948839,16783.733329,SELL
12.29,12.35,12.2,12.31,1110.261212,13641.487061,HOLD
12.32,12.4,12.11,12.2,4569.274849,55822.936933,SELL
12.2,12.23,11.75,12.07,3692.252109,44268.466957,SELL
12.01,12.74,11.93,12.22,4332.172428,52673.245541,SELL
12.22,12.41,12.1,12.37,3553.575777,43632.217666,SELL
12.35,12.45,12.2,12.43,3472.326639,42855.953167,SELL
12.39,12.46,12.31,12.34,2513.848998,31183.917211,SELL
12.44,12.46,12.24,12.42,1741.3898,21548.161377,SELL
12.46,12.6,12.32,12.6,5124.745796,63764.15021,SELL
12.5,13.01,12.42,12.59,5524.270221,70234.703099,SELL
12.86,13.43,12.63,13.2,3202.160667,42022.987893,SELL
13.2,13.59,13.02,13.45,4479.87872,59510.934133,HOLD
