id,open,high,low,close,volume (btc),volume (currency),class label
215,4.94,5.01,4.94,4.96,544.64998903,2707.80998481,SELL
216,4.96,4.99,4.92,4.99,114.97408628,569.912989677,SELL
217,4.93,4.98,4.93,4.98,487.00754874,2414.16300318,SELL
218,4.99,4.99,4.95,4.98,282.51538718,1407.38178203,SELL
219,4.98,5.18,4.98,5.16,839.9317501,4285.05946098,BUY
220,5.17,5.18,5.06,5.13,562.65170962,2877.43322421,BUY
221,5.15,5.38,5.09,5.38,372.83588987,1927.01155439,BUY
222,5.4,5.43,5.19,5.24,301.94356518,1587.32789151,BUY
223,5.24,5.25,5.17,5.17,139.56864263,727.29093917,BUY
224,5.2,5.25,5.0,5.0,947.46097438,4873.92244791,BUY
225,4.99,5.15,4.98,5.08,1975.83110589,10045.4985959,BUY
226,5.12,5.14,4.86,5.14,1634.21397671,8194.99507488,SELL
227,5.1,5.12,4.86,4.98,762.130218,3827.40637924,SELL
228,5.03,5.08,4.99,5.04,718.01401093,3598.05361112,SELL
229,5.07,5.07,4.85,4.91,205.02552687,1016.89049692,SELL
230,4.92,4.96,4.81,4.91,62.87862749,306.860890322,SELL
231,4.92,5.02,4.87,5.0,490.58077756,2426.54116296,SELL
232,4.94,5.04,4.86,4.97,831.74622588,4137.30469267,SELL
233,5.01,5.15,5.01,5.06,495.3171434,2513.61590618,HOLD
234,5.06,5.13,5.05,5.1,645.08940157,3293.74358761,BUY
235,5.1,5.15,5.07,5.07,776.04276349,3969.42600604,BUY
236,5.09,5.11,5.04,5.04,415.56904636,2105.18351644,BUY
237,5.06,5.1,5.02,5.08,1234.04605556,6235.20105632,BUY
238,5.05,5.08,4.97,5.05,874.47864459,4402.52356578,BUY
239,5.06,5.08,4.99,5.02,640.55868732,3232.38429947,BUY
240,5.02,5.08,5.01,5.02,350.28159466,1764.91236416,HOLD
241,5.02,5.04,4.87,4.87,907.11429341,4527.14435412,HOLD
242,4.97,4.97,4.87,4.95,413.82665677,2038.79651877,SELL
243,4.95,4.97,4.91,4.91,219.33389116,1080.62974084,SELL
244,4.95,4.95,4.94,4.94,395.46296566,1954.29393453,SELL
245,4.93,4.99,4.88,4.93,718.72911768,3540.86129682,SELL
246,4.95,5.01,4.9,4.95,600.99596383,2983.31624998,SELL
247,5.0,5.04,4.98,5.04,178.0332215,892.098753711,SELL
248,5.02,5.03,5.01,5.02,611.21283218,3071.50542947,SELL
249,5.03,5.07,5.03,5.07,912.52426975,4607.76403261,HOLD
250,5.08,5.08,5.05,5.07,168.0059752,851.564453192,HOLD
251,5.03,5.08,5.03,5.03,26.40212653,133.964194771,HOLD
252,5.04,5.09,5.01,5.08,354.05739561,1791.34037318,HOLD
253,5.05,5.07,5.0,5.03,678.06758546,3425.08984785,HOLD
254,5.02,5.1,5.02,5.1,558.15131265,2826.52784037,SELL
255,5.08,5.12,5.04,5.12,904.74009563,4607.12505728,HOLD
256,5.09,5.1,5.08,5.08,274.91026252,1398.60458211,SELL
257,5.08,5.09,5.06,5.07,388.70621698,1977.88341877,SELL
258,5.08,5.08,5.0,5.07,913.52967246,4616.79508085,SELL
259,5.08,5.08,5.07,5.07,180.68383317,917.689674124,SELL
260,5.07,5.12,4.95,5.11,1341.51430437,6801.76803043,SELL
261,5.07,5.14,5.07,5.14,748.4016813,3831.89588157,SELL
262,5.14,5.17,5.1,5.17,1102.63991433,5655.31680317,SELL
263,5.17,5.24,5.16,5.22,473.66441064,2467.5546251,SELL
264,5.2,5.21,5.17,5.19,192.43478463,999.613877061,SELL
265,5.19,5.2,5.19,5.19,14.33475413,74.4404953217,SELL
266,5.18,5.24,5.14,5.22,1359.1183093,7046.50350804,SELL
267,5.22,5.49,5.22,5.37,929.19495142,4983.29089919,SELL
268,5.39,5.49,5.37,5.41,770.84630967,4190.97483089,SELL
269,5.41,5.53,5.4,5.53,1412.87520676,7732.31929533,SELL
270,5.48,5.63,5.46,5.61,1397.44902146,7776.03868718,SELL
271,5.6,5.62,5.47,5.48,353.65603433,1971.26132569,SELL
272,5.54,5.54,5.42,5.42,270.95117635,1480.56725755,SELL
273,5.48,5.57,5.4,5.52,667.67216608,3645.37400012,SELL
274,5.57,5.9,5.53,5.71,9330.40796353,54760.4947718,SELL
275,5.77,6.0,5.71,5.86,1690.19740728,9900.86663109,SELL
276,5.86,5.91,5.79,5.9,3236.5087261,18903.8965998,SELL
277,5.88,6.42,5.56,6.42,2041.44728739,11963.3082654,SELL
278,6.41,6.52,6.12,6.41,1010.13937541,6427.82397752,SELL
279,6.41,6.47,6.13,6.19,424.19045736,2679.99078373,SELL
280,6.13,6.34,5.98,6.06,2483.09865301,15257.8074916,SELL
281,6.13,6.49,6.13,6.46,1389.04883704,8907.14970007,BUY
282,6.4,6.65,6.26,6.64,2075.98456732,13567.2568854,HOLD
283,6.66,6.69,6.64,6.64,480.84201914,3201.47883713,BUY
284,6.64,6.67,6.48,6.59,963.16079856,6367.15299109,BUY
285,6.6,6.61,6.33,6.45,1137.14132849,7329.2719855,SELL
286,6.35,6.45,6.35,6.4,599.17294991,3831.39711792,SELL
287,6.35,6.35,6.11,6.26,1956.72821549,12222.0752964,SELL
288,6.26,6.46,6.17,6.41,2273.09860085,14395.2935877,SELL
289,6.41,6.68,6.34,6.49,11231.7782872,73445.1462746,HOLD
290,6.49,6.54,5.99,6.5,4266.15056833,26772.7799114,SELL
291,6.5,6.63,6.49,6.52,8127.55500191,52910.4338225,HOLD
292,6.58,6.61,6.5,6.61,828.05206012,5403.41210267,SELL
293,6.6,6.62,6.52,6.52,332.44372303,2178.09880757,HOLD
